Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
15,0,3,73.0,10920,1,1,0,3,0,0,12,2,2,0,2,6,4,1960,1960,3,1,8,8,1,139,3,4,1,4,4,3,1,733,6,0,520,1253,1,4,1,0,1253,0,0,1253,1,0,1,1,2,1,3,5,6,1,1,1,1960.0,2,1,352,5,5,2,0,213,176,0,0,0,3,1,1,0,4,2,8,4,11.964007453736913
16,3,4,51.0,6120,1,1,3,3,0,0,3,2,2,0,1,7,7,1929,2001,1,1,13,14,2,0,3,4,0,4,4,3,6,0,6,0,832,832,1,0,1,0,854,0,0,854,0,0,1,0,2,1,3,5,6,0,3,5,1991.0,3,2,576,5,5,2,48,112,0,0,0,0,3,0,1,0,6,1,8,4,11.790564777297387
17,0,3,73.0,11241,1,1,0,3,1,0,12,2,2,0,2,6,6,1970,1970,1,1,13,14,1,119,3,4,1,4,4,3,0,578,6,0,426,1004,1,0,1,0,1004,0,0,1004,1,0,1,0,2,1,3,5,6,1,5,1,1970.0,0,2,480,5,5,2,0,0,0,0,0,0,3,4,3,700,2,4,8,4,11.91170829631447
18,10,3,72.0,10791,1,1,3,3,4,0,19,2,2,2,2,4,4,1967,1967,1,1,8,8,2,0,3,4,3,3,2,4,4,0,4,0,0,0,1,4,1,0,1296,0,0,1296,0,0,2,0,2,2,3,6,6,0,3,4,1967.0,3,2,516,5,5,2,0,0,0,0,0,0,3,4,3,500,9,0,8,4,11.407576060361786
19,0,3,66.0,13695,1,1,3,3,4,0,20,5,2,0,2,5,4,2004,2004,1,1,12,13,2,0,3,4,2,4,4,3,2,646,6,0,468,1114,1,0,1,0,1114,0,0,1114,1,0,1,1,3,1,2,6,6,0,3,5,2004.0,3,2,576,5,5,2,0,102,0,0,0,0,3,4,1,0,5,2,8,4,11.976665770490769
20,0,3,70.0,7560,1,1,3,3,4,0,12,2,2,0,2,5,5,1958,1965,3,1,3,10,2,0,3,4,1,4,4,3,3,504,6,0,525,1029,1,4,1,0,1339,0,0,1339,0,0,1,0,3,1,3,6,2,0,3,1,1958.0,3,1,294,5,5,2,0,0,0,0,0,0,3,2,1,0,4,3,0,0,11.842236406331557
21,5,3,101.0,14215,1,1,0,3,0,0,16,2,2,0,5,8,4,2005,2006,1,1,12,13,1,234,2,4,2,0,4,0,6,0,6,0,1158,1158,1,0,1,0,1158,1218,0,2376,0,0,3,1,4,1,2,9,6,1,2,3,2005.0,2,3,853,5,5,2,240,154,0,0,0,0,3,4,1,0,10,0,6,5,12.692506186542175
22,3,4,57.0,7449,1,0,3,0,4,0,9,2,2,0,1,7,6,1930,1950,1,1,13,14,2,0,3,4,2,4,4,3,6,0,6,0,637,637,1,0,1,0,1108,0,0,1108,0,0,1,0,3,1,2,6,6,1,2,1,1930.0,3,1,280,5,5,0,0,0,205,0,0,0,3,0,1,0,5,1,8,4,11.84510995088398
23,0,3,75.0,9742,1,1,3,3,4,0,5,2,2,0,2,8,4,2002,2002,3,1,12,13,1,183,2,4,2,2,4,3,6,0,6,0,1777,1777,1,0,1,0,1795,0,0,1795,0,0,2,0,3,1,2,7,6,1,2,1,2002.0,2,2,534,5,5,2,171,159,0,0,0,0,3,4,1,0,8,2,8,4,12.345838935721968
24,11,4,44.0,4224,1,1,3,3,4,0,10,2,2,4,2,5,6,1976,1976,1,1,5,5,2,0,3,4,2,2,4,3,2,840,6,0,200,1040,1,4,1,0,1060,0,0,1060,1,0,1,0,3,1,3,6,6,1,5,1,1976.0,3,2,572,5,5,2,100,110,0,0,0,0,3,4,1,0,5,1,8,4,11.774527900858466
25,0,3,71.0,8246,1,1,0,3,4,0,19,2,2,0,2,5,7,1968,2001,1,1,9,10,2,0,3,2,1,4,4,2,5,188,0,668,204,1060,1,0,1,0,1060,0,0,1060,1,0,1,0,3,1,2,6,6,1,5,1,1968.0,3,1,270,5,5,2,406,90,0,0,0,0,3,2,1,0,4,4,8,4,11.944714374881176
26,0,3,110.0,14230,1,1,3,3,0,0,16,2,2,0,2,8,4,2007,2007,1,1,12,13,3,296,2,4,2,2,4,3,6,0,6,0,1566,1566,1,0,1,0,1600,0,0,1600,0,0,2,0,3,1,2,7,6,1,2,1,2007.0,2,3,890,5,5,2,0,56,0,0,0,0,3,4,1,0,6,3,8,4,12.454107814022274
27,0,3,60.0,7200,1,1,3,3,0,0,12,2,2,0,2,5,6,1951,2000,1,1,13,14,2,0,3,4,1,4,4,2,1,234,5,486,180,900,1,4,1,0,900,0,0,900,0,1,1,0,3,1,2,5,6,0,3,5,2005.0,3,2,576,5,5,2,222,32,0,0,0,0,3,4,1,0,4,4,8,4,11.811554895830454
28,0,3,98.0,11478,1,1,3,3,4,0,16,2,2,0,2,8,4,2007,2008,1,1,12,13,3,129,2,4,2,0,4,3,2,1218,6,0,486,1704,1,0,1,0,1704,0,0,1704,1,0,2,0,3,1,2,7,6,1,2,1,2008.0,2,3,772,5,5,2,0,50,0,0,0,0,3,4,1,0,4,4,8,4,12.631343648903036
29,0,3,47.0,16321,1,1,0,3,1,0,12,2,2,0,2,5,5,1957,1997,1,1,8,8,2,0,3,4,1,4,4,1,1,1277,6,0,207,1484,1,4,1,0,1600,0,0,1600,1,0,1,0,2,1,3,6,6,2,2,1,1957.0,2,1,319,5,5,2,288,258,0,0,0,0,3,4,1,0,11,0,8,4,12.242891437918384
30,1,4,60.0,6324,1,1,0,3,4,0,3,1,7,0,2,4,5,1927,1950,1,1,8,8,2,0,3,4,0,4,4,3,6,0,6,0,520,520,1,1,0,0,520,0,0,520,0,0,1,0,1,1,1,4,6,0,3,5,1920.0,3,1,240,1,5,2,49,0,87,0,0,0,3,4,1,0,4,2,8,4,11.134603622683905
31,6,0,50.0,8500,1,2,3,3,4,0,9,1,2,0,5,4,3,1920,1950,2,1,3,3,2,0,3,1,0,4,4,3,6,0,6,0,649,649,1,4,0,0,649,668,0,1317,0,0,1,0,3,1,3,6,6,0,3,5,1920.0,3,1,250,5,1,0,0,54,172,0,0,0,3,2,1,0,6,2,8,4,10.59665973278358
32,0,3,71.0,8544,1,1,0,3,1,0,19,2,2,0,2,5,5,1966,2006,1,1,6,6,2,0,3,4,1,4,4,3,6,0,6,0,1228,1228,1,2,1,0,1228,0,0,1228,0,0,1,1,3,1,2,6,6,0,3,1,1966.0,3,1,271,5,5,2,0,65,0,0,0,0,3,2,1,0,5,2,8,4,11.914054519303123
33,0,3,85.0,11049,1,1,3,3,0,0,5,2,2,0,2,8,4,2007,2007,1,1,12,13,2,0,2,4,2,0,4,0,6,0,6,0,1234,1234,1,0,1,0,1234,0,0,1234,0,0,2,0,3,1,2,7,6,0,3,1,2007.0,2,2,484,5,5,2,0,30,0,0,0,0,3,4,1,0,0,2,8,4,12.100161978566868
34,0,3,70.0,10552,1,1,0,3,4,0,12,2,2,0,2,5,4,1959,1959,3,1,3,3,2,0,3,4,1,4,4,3,5,1018,6,0,380,1398,1,2,1,0,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,2,1,1959.0,2,2,447,5,5,2,0,38,0,0,0,0,3,4,1,0,3,4,8,4,12.016732516077072
35,11,3,60.0,7313,1,1,3,3,4,0,16,2,2,4,2,9,4,2005,2005,3,1,8,8,1,161,0,4,2,0,4,3,2,1153,6,0,408,1561,1,0,1,0,1561,0,0,1561,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,0,2,556,5,5,2,203,47,0,0,0,0,3,4,1,0,7,1,8,4,12.533579815765734
36,5,3,108.0,13418,1,1,3,3,4,0,16,2,2,0,5,8,4,2004,2005,1,1,12,13,3,81,2,4,2,0,4,0,6,0,6,0,1117,1117,1,0,1,0,1132,1320,0,2452,0,0,3,1,4,1,2,9,6,1,2,3,2004.0,0,3,691,5,5,2,113,32,0,0,0,0,3,4,1,0,8,0,8,4,12.641099792120599
37,0,3,112.0,10859,1,1,3,3,0,0,5,2,2,0,2,5,4,1994,1995,1,1,12,13,2,0,3,4,2,2,4,3,6,0,6,0,1097,1097,1,0,1,0,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,3,1,1995.0,3,2,672,5,5,2,392,64,0,0,0,0,3,4,1,0,5,3,8,4,11.884495917930655
38,0,3,74.0,8532,1,1,3,3,4,0,12,2,2,0,2,5,5,1954,1990,3,1,13,14,1,297,3,4,1,4,4,3,5,1213,6,0,84,1297,1,2,1,0,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,5,1,1954.0,0,2,498,5,5,2,0,0,0,0,0,0,3,4,1,0,9,3,8,4,11.938199736300927
39,0,3,68.0,7922,1,1,3,3,4,0,12,2,2,0,2,5,6,1953,2007,1,1,12,13,2,0,3,2,1,4,4,3,2,731,6,0,326,1057,1,4,1,0,1057,0,0,1057,1,0,1,0,3,1,2,5,6,0,3,5,1953.0,3,1,246,5,5,2,0,52,0,0,0,0,3,4,1,0,0,4,8,0,11.599112335481124
40,10,3,65.0,6040,1,1,3,3,4,0,7,2,2,2,2,4,4,1955,1955,1,1,0,10,2,0,3,4,2,3,2,4,4,0,4,0,0,0,1,4,0,0,1152,0,0,1152,0,0,2,0,2,2,1,6,6,0,3,6,0.0,1,0,0,3,3,0,0,0,0,0,0,0,3,4,1,0,5,2,8,1,11.314486721293981
41,0,3,84.0,8658,1,1,3,3,4,0,12,2,2,0,2,6,4,1965,1965,1,1,13,14,1,58,3,4,1,4,4,3,5,643,6,0,445,1088,1,0,1,0,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,5,1,1965.0,2,2,440,5,5,2,0,138,0,0,0,0,3,1,1,0,11,0,8,0,11.98293534419643
42,0,3,115.0,16905,1,1,3,3,4,0,23,2,2,0,2,5,5,1959,1959,1,1,12,13,2,0,3,2,1,4,4,1,1,967,6,0,383,1350,1,2,1,0,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,2,1,1959.0,2,1,308,5,5,1,0,104,0,0,0,0,3,4,1,0,6,1,8,4,12.04355959836804
43,9,3,66.5,9180,1,1,0,3,1,0,20,2,2,0,6,5,6,1983,1983,1,1,6,6,2,0,3,4,1,2,4,0,0,747,3,93,0,840,1,2,1,0,884,0,0,884,1,0,1,0,2,1,2,5,6,0,3,1,1983.0,2,2,504,5,2,2,240,0,0,0,0,0,3,2,1,0,11,1,8,4,11.87757552297847
44,0,3,70.0,9200,1,1,0,3,1,0,5,2,2,0,2,5,5,1975,1980,3,1,12,13,2,0,3,4,1,2,4,0,3,280,1,491,167,938,1,4,1,0,938,0,0,938,1,0,1,0,3,1,3,5,6,0,3,5,1977.0,3,1,308,5,5,2,145,0,0,0,0,0,3,2,1,0,6,2,8,4,11.777218637129328
45,0,3,70.0,7945,1,1,3,3,4,0,12,2,2,0,2,5,5,1959,1959,1,1,3,14,2,0,3,4,1,4,4,3,0,179,1,506,465,1150,1,0,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,3,1,1959.0,2,1,300,5,5,2,0,0,0,0,0,0,3,4,1,0,4,0,8,4,11.856522261533735
46,11,3,61.0,7658,1,1,3,3,4,0,16,2,2,4,2,9,4,2005,2005,3,1,8,8,1,243,0,4,2,0,4,3,2,456,6,0,1296,1752,1,0,1,0,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,2,2,576,5,5,2,196,82,0,0,0,0,3,4,1,0,1,4,8,4,12.675766851909593
47,4,3,48.0,12822,1,1,0,3,1,0,11,2,2,0,0,7,4,2003,2003,1,1,12,13,2,0,2,4,2,0,4,3,2,1351,6,0,83,1434,1,0,1,0,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,0,1,2003.0,2,2,670,5,5,2,168,43,0,0,198,0,3,4,1,0,7,3,8,0,12.387089184491993
48,0,1,84.0,11096,1,1,3,3,4,0,21,2,2,0,2,8,4,2006,2006,1,1,12,13,2,0,2,4,2,2,4,0,2,24,6,0,1632,1656,1,0,1,0,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,3,1,2006.0,2,3,826,5,5,2,0,146,0,0,0,0,3,4,1,0,6,1,8,4,12.428019481065615
49,14,4,33.0,4456,1,1,3,3,4,0,17,2,2,1,5,4,4,1920,2008,1,1,8,8,2,0,3,4,0,4,4,3,6,0,6,0,736,736,1,2,1,0,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,3,6,0.0,1,0,0,3,3,0,0,0,102,0,0,0,3,4,1,0,5,3,6,5,11.635151947212842
50,0,3,66.0,7742,1,1,3,3,4,0,19,2,2,0,2,5,6,1966,1966,1,1,6,6,2,0,3,4,1,4,4,3,1,763,6,0,192,955,1,0,1,0,955,0,0,955,1,0,1,0,3,1,3,6,6,0,3,1,1966.0,3,1,386,5,5,2,0,0,0,0,0,0,3,2,1,0,0,1,8,4,11.751950239425476
51,5,3,65.0,13869,1,1,1,3,0,0,8,2,2,0,5,6,5,1997,1997,1,1,12,13,2,0,3,4,2,2,4,0,2,182,6,0,612,794,1,2,1,0,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,3,1,1997.0,0,2,388,5,5,2,0,75,0,0,0,0,3,4,1,0,6,1,8,4,12.08391066125752
52,4,4,52.0,6240,1,1,3,3,4,0,3,2,2,0,0,6,5,1934,1950,1,1,13,14,2,0,3,4,2,4,4,3,6,0,6,0,816,816,1,4,1,0,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,5,1985.0,3,2,528,5,5,2,112,0,0,0,0,0,3,2,3,400,8,0,8,4,11.648338835562749
53,10,4,110.0,8472,0,1,1,0,0,1,9,8,2,2,2,5,4,1963,1963,1,1,13,14,2,0,1,4,1,2,4,1,3,104,2,712,0,816,1,4,0,0,816,0,0,816,1,0,1,0,2,1,3,5,6,0,3,4,1963.0,3,2,516,5,5,2,106,0,0,0,0,0,3,4,1,0,4,4,8,4,11.608244735642321
54,0,3,68.0,50271,1,1,0,2,4,0,24,2,2,0,2,9,4,1981,1987,1,7,14,15,2,0,2,4,1,0,4,1,2,1810,6,0,32,1842,1,2,1,0,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,2,1,1981.0,0,3,894,5,5,2,857,72,0,0,0,0,3,4,1,0,10,0,8,4,12.861001210669146
55,8,3,60.0,7134,1,1,3,0,4,1,12,2,2,0,7,5,4,1955,1955,1,1,8,8,2,0,3,4,1,4,4,3,0,384,6,0,0,384,1,4,1,0,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,5,5,1962.0,3,2,572,5,5,2,0,50,0,0,0,0,3,2,1,0,1,1,8,4,11.775297421715827
56,0,3,100.0,10175,1,1,0,3,4,0,12,2,2,0,2,6,4,1964,1964,1,1,6,10,1,178,3,4,1,4,4,3,1,490,6,0,935,1425,1,2,1,0,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,1,1964.0,2,2,576,5,5,2,0,0,0,407,0,0,3,4,1,0,6,2,8,4,12.103491596905933
57,12,1,24.0,2645,1,2,3,3,4,0,21,2,2,3,5,8,4,1999,2000,1,1,8,8,1,261,2,4,2,2,4,3,2,649,6,0,321,970,1,0,1,0,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,3,1,1999.0,0,2,480,5,5,2,115,0,0,0,0,0,3,4,1,0,7,3,8,0,12.058158312538195
58,5,3,89.0,11645,1,1,0,3,0,0,5,2,2,0,5,7,4,2004,2004,1,1,12,13,2,0,2,4,2,2,4,3,6,0,6,0,860,860,1,0,1,0,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,3,1,2004.0,2,2,565,5,5,2,0,70,0,0,0,0,3,4,1,0,7,0,8,4,12.188422799337028
59,5,3,66.0,13682,1,1,1,1,1,0,22,2,2,0,5,10,4,2006,2006,3,1,12,13,1,320,0,4,2,0,4,1,6,0,6,0,1410,1410,1,0,1,0,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,2,3,2006.0,0,3,641,5,5,2,192,0,37,0,0,0,3,4,1,0,9,0,6,5,12.991755706536901
60,0,3,60.0,7200,1,1,3,0,4,0,5,2,2,0,2,5,6,1972,1972,1,1,6,6,2,0,3,4,1,4,4,0,0,632,6,0,148,780,1,0,1,0,780,0,0,780,0,0,1,0,2,1,3,4,6,0,3,5,1973.0,3,1,352,5,5,2,196,0,0,0,0,0,3,2,1,0,0,2,8,4,11.73527670248674
61,0,3,63.0,13072,1,1,3,3,4,0,20,5,2,0,2,6,4,2004,2004,1,1,12,13,2,0,3,4,2,2,4,3,0,941,6,0,217,1158,1,0,1,0,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,3,5,2006.0,3,2,576,5,5,2,0,50,0,0,0,0,3,4,1,0,4,0,6,5,11.970356641103
62,7,4,60.0,7200,1,1,3,3,4,0,9,2,2,0,4,5,6,1920,1996,1,1,8,8,2,0,3,4,0,4,0,3,6,0,6,0,530,530,1,4,0,0,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,3,5,1935.0,3,1,288,5,5,0,0,0,144,0,0,0,3,4,1,0,2,1,8,4,11.522885696764481
63,11,3,44.0,6442,1,1,0,3,4,0,16,2,2,4,2,8,4,2006,2006,1,1,12,13,3,118,2,4,2,2,1,2,2,24,6,0,1346,1370,1,0,1,0,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,1,2006.0,2,2,484,5,5,2,120,49,0,0,0,0,3,4,1,0,9,1,8,4,12.218500103788145
64,6,4,50.0,10300,1,1,0,0,4,0,17,6,1,0,5,7,5,1921,1950,1,1,11,12,2,0,3,4,0,4,4,3,6,0,6,0,576,576,1,2,1,0,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,3,5,1990.0,3,2,480,5,5,2,12,11,64,0,0,0,3,0,1,0,3,4,8,4,11.849404844423075
65,5,3,70.0,9375,1,1,3,3,4,0,5,2,2,0,5,7,4,1997,1998,1,1,12,13,1,284,3,4,2,2,4,3,2,739,6,0,318,1057,1,0,1,0,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,3,1,1998.0,2,2,645,5,5,2,576,36,0,0,0,0,3,0,1,0,1,3,8,4,12.299112067295642
66,5,3,76.0,9591,1,1,3,3,4,0,16,2,2,0,5,8,4,2004,2005,1,1,12,13,1,219,2,4,2,0,4,0,6,0,6,0,1143,1143,1,0,1,0,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,3,2004.0,2,3,852,5,5,2,192,151,0,0,0,0,3,4,1,0,9,1,8,4,12.666660207428574
67,0,3,73.0,19900,1,1,3,3,4,0,12,3,2,0,2,7,4,1970,1989,1,1,9,10,1,187,3,4,1,2,4,1,2,912,6,0,1035,1947,1,4,1,0,2207,0,0,2207,1,0,2,0,3,1,3,7,2,1,2,1,1970.0,2,2,576,5,5,2,301,0,0,0,0,0,3,4,1,0,6,4,8,4,12.100717685412473
68,0,3,72.0,10665,1,1,0,3,4,0,5,2,2,0,2,7,4,2003,2003,1,1,12,13,1,109,2,4,2,2,4,0,2,1013,6,0,440,1453,1,0,1,0,1479,0,0,1479,1,0,2,0,3,1,2,7,6,0,3,1,2003.0,2,2,558,5,5,2,144,29,0,0,0,0,3,4,1,0,5,1,8,4,12.328294703023396
69,1,4,47.0,4608,1,1,3,3,0,0,17,0,2,0,2,4,5,1945,1950,1,1,8,8,2,0,3,2,1,4,4,3,6,0,6,0,747,747,1,4,1,0,747,0,0,747,0,0,1,0,2,1,3,4,6,0,3,1,1945.0,3,1,220,5,5,2,0,0,0,0,0,0,3,4,1,0,5,4,8,4,11.289794413577896
70,4,3,81.0,15593,1,1,3,3,0,0,4,2,2,0,0,7,3,1953,1953,1,1,3,0,2,0,2,4,1,4,4,3,1,603,6,0,701,1304,2,4,1,0,1304,983,0,2287,0,0,2,0,3,1,3,7,6,1,5,1,1953.0,0,2,667,5,5,2,0,21,114,0,0,0,3,4,1,0,6,0,8,4,12.323860125621126
71,0,3,95.0,13651,1,1,0,3,4,0,12,2,2,0,2,7,5,1973,1973,1,1,9,10,1,322,3,2,1,2,4,1,0,1880,6,0,343,2223,1,0,1,0,2223,0,0,2223,1,0,2,0,3,1,3,8,6,2,2,1,1973.0,0,2,516,5,5,2,300,0,0,0,0,0,3,4,1,0,1,1,8,4,12.404927602627597
72,0,3,69.0,7599,1,1,3,3,0,0,11,2,2,0,2,4,5,1982,2006,1,1,6,10,2,0,3,4,1,4,4,3,0,565,6,0,280,845,1,4,1,0,845,0,0,845,1,0,1,0,2,1,3,4,6,0,3,5,1987.0,3,2,360,5,5,2,0,0,0,0,0,0,3,4,1,0,5,1,8,4,11.771443882099636
73,5,3,74.0,10141,1,1,0,3,0,0,8,2,2,0,5,7,4,1998,1998,1,1,12,13,1,16,3,4,2,2,4,3,6,0,6,0,832,832,1,2,1,0,885,833,0,1718,0,0,2,1,3,1,3,7,6,1,5,1,1998.0,0,2,427,5,5,2,0,94,0,0,291,0,3,4,1,0,11,3,8,4,12.128116509451258
